Experiment 1,Experiment 2
Urn 2,Urn 4
Urn 1,Urn 4
Urn 2,Urn 4
Urn 2,Urn 3
Urn 2,Urn 4
Urn 2,Urn 4
Urn 2,Urn 3
Urn 1,Urn 3
Urn 2,Urn 4
Urn 2,Urn 4
Urn 2,Urn 3
Urn 2,Urn 3
Urn 1,Urn 3
Urn 1,Urn 3
Urn 1,Urn 3
Urn 1,Urn 4
Urn 2,Urn 4
Urn 1,Urn 3
Urn 1,Urn 3
Urn 1,Urn 3
Urn 1,Urn 4
Urn 1,Urn 4
Urn 1,Urn 4
Urn 2,Urn 4
Urn 1,Urn 4
Urn 1,Urn 3
Urn 1,Urn 4
Urn 1,Urn 3
Urn 2,Urn 3
Urn 1,Urn 3
Urn 1,Urn 4
Urn 2,Urn 3
Urn 2,Urn 3
Urn 1,Urn 3
Urn 1,Urn 3
Urn 2,Urn 4
Urn 1,Urn 3
Urn 1,Urn 3
Urn 2,Urn 3
Urn 2,Urn 3
Urn 1,Urn 3
Urn 2,Urn 4
Urn 1,Urn 3
Urn 1,Urn 4
Urn 1,Urn 4
Urn 2,Urn 4
Urn 1,Urn 4
Urn 2,Urn 4
Urn 2,Urn 4
Urn 1,Urn 4
Urn 2,Urn 4
Urn 2,Urn 4
Urn 2,Urn 3
Urn 1,Urn 3
Urn 1,Urn 4
Urn 2,Urn 3
Urn 1,Urn 4
Urn 2,Urn 3
Urn 2,Urn 3
Urn 1,Urn 3
Urn 1,Urn 3
Urn 1,Urn 4
Urn 2,Urn 4
Urn 2,Urn 3
Urn 1,Urn 4
Urn 1,Urn 3
Urn 1,Urn 4
Urn 1,Urn 3
Urn 1,Urn 3
Urn 1,Urn 3
Urn 2,Urn 3
Urn 1,Urn 3
Urn 1,Urn 4
Urn 1,Urn 4
Urn 2,Urn 3
Urn 2,Urn 3
Urn 2,Urn 3
Urn 2,Urn 3
Urn 2,Urn 3
Urn 1,Urn 3
Urn 1,Urn 3
Urn 1,Urn 4
Urn 1,Urn 4
Urn 1,Urn 3
Urn 1,Urn 4
Urn 1,Urn 4
Urn 2,Urn 3
Urn 1,Urn 3
Urn 1,Urn 4
Urn 1,Urn 4
Urn 1,Urn 4
Urn 1,Urn 4
Urn 2,Urn 3
Urn 1,Urn 4
Urn 2,Urn 4
Urn 2,Urn 3
Urn 2,Urn 3
Urn 2,Urn 4
Urn 1,Urn 4
Urn 1,Urn 3
